Inferred num_concepts=108 from dataset.
[seed 1] epoch 74/100 loss=0.1567 (cls=0.0405 concept=0.9513 sparsity=0.2028 continuity=0.0159) train_acc=1.0000 val_loss=0.7459 (val_cls=0.6299 val_concept=0.9312 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 75/100 loss=0.1558 (cls=0.0397 concept=0.9503 sparsity=0.2027 continuity=0.0159) train_acc=1.0000 val_loss=0.7458 (val_cls=0.6303 val_concept=0.9260 val_sparsity=0.2212 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 76/100 loss=0.1552 (cls=0.0395 concept=0.9465 sparsity=0.2026 continuity=0.0159) train_acc=1.0000 val_loss=0.7438 (val_cls=0.6277 val_concept=0.9310 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8665
[seed 1] epoch 77/100 loss=0.1552 (cls=0.0396 concept=0.9461 sparsity=0.2026 continuity=0.0159) train_acc=1.0000 val_loss=0.7495 (val_cls=0.6343 val_concept=0.9231 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 78/100 loss=0.1546 (cls=0.0393 concept=0.9429 sparsity=0.2025 continuity=0.0159) train_acc=1.0000 val_loss=0.7497 (val_cls=0.6343 val_concept=0.9246 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8665
[seed 1] epoch 79/100 loss=0.1541 (cls=0.0388 concept=0.9422 sparsity=0.2025 continuity=0.0159) train_acc=1.0000 val_loss=0.7456 (val_cls=0.6311 val_concept=0.9161 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 80/100 loss=0.1538 (cls=0.0388 concept=0.9400 sparsity=0.2024 continuity=0.0159) train_acc=1.0000 val_loss=0.7485 (val_cls=0.6336 val_concept=0.9195 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8676
[seed 1] epoch 81/100 loss=0.1536 (cls=0.0387 concept=0.9384 sparsity=0.2025 continuity=0.0159) train_acc=1.0000 val_loss=0.7533 (val_cls=0.6383 val_concept=0.9200 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 82/100 loss=0.1532 (cls=0.0384 concept=0.9377 sparsity=0.2025 continuity=0.0159) train_acc=1.0000 val_loss=0.7474 (val_cls=0.6328 val_concept=0.9167 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 83/100 loss=0.1527 (cls=0.0381 concept=0.9358 sparsity=0.2025 continuity=0.0159) train_acc=1.0000 val_loss=0.7499 (val_cls=0.6354 val_concept=0.9159 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 84/100 loss=0.1527 (cls=0.0381 concept=0.9354 sparsity=0.2024 continuity=0.0159) train_acc=1.0000 val_loss=0.7522 (val_cls=0.6376 val_concept=0.9159 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 85/100 loss=0.1524 (cls=0.0380 concept=0.9341 sparsity=0.2024 continuity=0.0159) train_acc=1.0000 val_loss=0.7468 (val_cls=0.6325 val_concept=0.9137 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8654
[seed 1] epoch 86/100 loss=0.1520 (cls=0.0377 concept=0.9328 sparsity=0.2022 continuity=0.0159) train_acc=1.0000 val_loss=0.7506 (val_cls=0.6365 val_concept=0.9119 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 87/100 loss=0.1517 (cls=0.0375 concept=0.9316 sparsity=0.2023 continuity=0.0159) train_acc=1.0000 val_loss=0.7509 (val_cls=0.6370 val_concept=0.9099 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 88/100 loss=0.1514 (cls=0.0374 concept=0.9301 sparsity=0.2021 continuity=0.0159) train_acc=1.0000 val_loss=0.7529 (val_cls=0.6390 val_concept=0.9098 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 89/100 loss=0.1514 (cls=0.0374 concept=0.9298 sparsity=0.2021 continuity=0.0159) train_acc=1.0000 val_loss=0.7507 (val_cls=0.6368 val_concept=0.9097 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 90/100 loss=0.1511 (cls=0.0372 concept=0.9297 sparsity=0.2022 continuity=0.0159) train_acc=1.0000 val_loss=0.7520 (val_cls=0.6383 val_concept=0.9080 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 91/100 loss=0.1510 (cls=0.0372 concept=0.9285 sparsity=0.2022 continuity=0.0159) train_acc=1.0000 val_loss=0.7528 (val_cls=0.6392 val_concept=0.9065 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 92/100 loss=0.1511 (cls=0.0373 concept=0.9280 sparsity=0.2022 continuity=0.0159) train_acc=1.0000 val_loss=0.7520 (val_cls=0.6385 val_concept=0.9060 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 93/100 loss=0.1508 (cls=0.0370 concept=0.9281 sparsity=0.2020 continuity=0.0159) train_acc=1.0000 val_loss=0.7520 (val_cls=0.6384 val_concept=0.9071 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8598
[seed 1] epoch 94/100 loss=0.1507 (cls=0.0369 concept=0.9279 sparsity=0.2020 continuity=0.0159) train_acc=1.0000 val_loss=0.7520 (val_cls=0.6385 val_concept=0.9063 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 95/100 loss=0.1506 (cls=0.0369 concept=0.9275 sparsity=0.2020 continuity=0.0159) train_acc=1.0000 val_loss=0.7516 (val_cls=0.6380 val_concept=0.9060 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8621
[seed 1] epoch 96/100 loss=0.1506 (cls=0.0370 concept=0.9264 sparsity=0.2020 continuity=0.0159) train_acc=1.0000 val_loss=0.7520 (val_cls=0.6384 val_concept=0.9065 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8643
[seed 1] epoch 97/100 loss=0.1505 (cls=0.0368 concept=0.9265 sparsity=0.2021 continuity=0.0159) train_acc=1.0000 val_loss=0.7517 (val_cls=0.6381 val_concept=0.9062 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8632
[seed 1] epoch 98/100 loss=0.1505 (cls=0.0369 concept=0.9266 sparsity=0.2019 continuity=0.0159) train_acc=1.0000 val_loss=0.7513 (val_cls=0.6378 val_concept=0.9060 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 99/100 loss=0.1504 (cls=0.0368 concept=0.9267 sparsity=0.2020 continuity=0.0159) train_acc=1.0000 val_loss=0.7515 (val_cls=0.6380 val_concept=0.9060 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8610
[seed 1] epoch 100/100 loss=0.1505 (cls=0.0368 concept=0.9269 sparsity=0.2020 continuity=0.0159) train_acc=1.0000 val_loss=0.7515 (val_cls=0.6380 val_concept=0.9060 val_sparsity=0.2213 val_continuity=0.0158) val_acc=0.8610
[seed 1] test_acc=0.8605
[seed 1] saved -> outputs/checkpoints/visualclarity_seed1.pt
[seed 2] epoch 1/100 loss=5.3390 (cls=5.1235 concept=0.6549 sparsity=1.4930 continuity=0.0133) train_acc=0.0455 val_loss=4.9236 (val_cls=4.7830 val_concept=0.8114 val_sparsity=0.5876 val_continuity=0.0151) val_acc=0.1090
[seed 2] epoch 2/100 loss=4.4278 (cls=4.2762 concept=1.0361 sparsity=0.4718 continuity=0.0153) train_acc=0.2514 val_loss=4.0296 (val_cls=3.8652 val_concept=1.2355 val_sparsity=0.4010 val_continuity=0.0155) val_acc=0.3137
[seed 2] epoch 3/100 loss=3.5412 (cls=3.3672 concept=1.3726 sparsity=0.3603 continuity=0.0155) train_acc=0.4620 val_loss=3.2486 (val_cls=3.0685 val_concept=1.4571 val_sparsity=0.3360 val_continuity=0.0156) val_acc=0.4294
[seed 2] epoch 4/100 loss=2.8369 (cls=2.6459 concept=1.5893 sparsity=0.3132 continuity=0.0156) train_acc=0.5978 val_loss=2.6626 (val_cls=2.4659 val_concept=1.6554 val_sparsity=0.3042 val_continuity=0.0156) val_acc=0.5862
